dataset_name,InceptionTime,InceptionTime + agg features,FCN,FCN +agg features,ResNet,ResNet + agg features,HIVE-COTE
SwedishLeaf,0.9712,0.9722,0.9693,0.9699,0.9563,0.9664,0.9536
Symbols,0.9819,0.9795,0.9553,0.9692,0.9064,0.9588,0.9739
SyntheticControl,0.9967,0.9973,0.9853,0.9933,0.9983,0.9993,0.9967
ToeSegmentation1,0.9693,0.9667,0.9614,0.9711,0.9627,0.9684,0.9825
ToeSegmentation2,0.9385,0.9538,0.8800,0.9277,0.9062,0.9262,0.9538
Trace,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
TwoLeadECG,0.9956,0.9977,0.9997,1.0000,1.0000,1.0000,0.9965
TwoPatterns,1.0000,1.0000,0.8708,0.8846,0.9999,0.9887,1.0000
UMD,0.9861,0.9819,0.9875,1.0000,0.9800,0.9931,
UWaveGestureLibraryAll,0.9545,0.9452,0.8171,0.8683,0.8595,0.8673,0.9685
UWaveGestureLibraryX,0.8247,0.8171,0.7536,0.7940,0.7805,0.7739,0.8398
UWaveGestureLibraryY,0.7688,0.7634,0.6391,0.6842,0.6701,0.6357,0.7655
UWaveGestureLibraryZ,0.7697,0.7655,0.7263,0.7615,0.7501,0.7586,0.7831
Wafer,0.9987,0.9992,0.9971,0.9979,0.9986,0.9979,0.9994
Wine,0.6667,0.7519,0.5870,0.6333,0.7444,0.9148,0.7778
WordSynonyms,0.7555,0.7357,0.5639,0.5486,0.6224,0.6122,0.7382
Worms,0.8052,0.8390,0.7649,0.7896,0.7909,0.8442,0.5584
WormsTwoClass,0.7922,0.8182,0.7260,0.7818,0.7468,0.8390,0.7792
Yoga,0.9057,0.9110,0.8385,0.8341,0.8702,0.8819,0.9177
